# Pattern name: INTRAPIXEL_SLIT_SCAN
# Mode: slit
# Frame: det-rel
# Reference: center, nod1, nod2
# CARs: CAR-076
# CALs: CAL-034
# Comments:
# Created by: Kendrew/Sloan


Pointing  x     y
1        0.00   0.00
2       -0.10   0.00
3       -0.20   0.00
4       -0.30   0.00
5       -0.40   0.00
6       -0.50   0.00
7       +0.50   0.00
8       +0.40   0.00
9       +0.30   0.00
10      +0.20   0.00
11      +0.10   0.00
